dimension,member,cases,late_rate_cases,tol_violation_rate_cases,otif_fail_rate_cases,otif_fail_cases,sum_order_value,sum_order_value_otif_fail,otif_fail_rate_value
DELIVERY_COMPANY,DB Schenker,16,0.9375,0.1875,1.0,16,637374.95,637374.95,1.0
DELIVERY_COMPANY,DHL,1259,0.2454328832406672,0.24384432088959493,0.4344718030182685,547,19300716.37,8790181.723,0.4554329256225425
DELIVERY_COMPANY,FedEx,722,0.5166204986149584,0.15512465373961218,0.6011080332409973,434,9707347.766999999,6139909.21,0.6325012101526372
DELIVERY_COMPANY,UPS,17956,0.35609267097349073,0.18562040543550903,0.4800623746936957,8620,180454245.406,85519821.217,0.47391415494044403
