dimension,member,cases,late_rate_cases,tol_violation_rate_cases,otif_fail_rate_cases,otif_fail_cases,sum_order_value,sum_order_value_otif_fail,otif_fail_rate_value
FACTORY,Aachen,8138,0.3857213074465471,0.14524453182600147,0.47775866306217746,3888,85432721.324,37791398.58,0.4423527425361731
FACTORY,Bonn,1166,0.3096054888507719,0.18010291595197256,0.43138936535162953,503,8408159.5,3681401.29,0.4378367572594216
FACTORY,Crefeld,1415,0.2989399293286219,0.25653710247349826,0.47985865724381627,679,3440939.62,1957983.79,0.569025907522318
FACTORY,Duisburg,133,0.3082706766917293,0.09774436090225563,0.3684210526315789,49,828370.3,334272.04,0.40352972577602064
FACTORY,Essen,9093,0.3437809303860112,0.21796986693060597,0.4941163532387551,4493,111795290.006,57223795.25,0.511862308751369
FACTORY,Wuppertal,8,0.125,0.625,0.625,5,194203.743,98436.15000000001,0.5068705086698562
